class_uri,class_curie,class_label,predicate_uri,predicate_curie,predicate_label,count
http://schema.org/BroadcastEvent,schema:BroadcastEvent,schema:BroadcastEvent,http://wembrewind.live/ex#wasBroadcastPreserved,ex:wasBroadcastPreserved,ex:wasBroadcastPreserved,2
http://schema.org/Collection,schema:Collection,schema:Collection,http://schema.org/description,schema:description,schema:description,2
http://schema.org/Collection,schema:Collection,schema:Collection,http://schema.org/name,schema:name,schema:name,2
http://schema.org/Collection,schema:Collection,schema:Collection,http://schema.org/numberOfItems,schema:numberOfItems,schema:numberOfItems,2
http://schema.org/Country,schema:Country,schema:Country,http://schema.org/name,schema:name,schema:name,2
http://schema.org/MusicEvent,schema:MusicEvent,schema:MusicEvent,http://schema.org/about,schema:about,schema:about,2
http://schema.org/MusicEvent,schema:MusicEvent,schema:MusicEvent,http://schema.org/recordedIn,schema:recordedIn,schema:recordedIn,2
http://schema.org/MusicEvent,schema:MusicEvent,schema:MusicEvent,http://wembrewind.live/ex#inspiredEvent,ex:inspiredEvent,ex:inspiredEvent,2
http://schema.org/MusicVenue,schema:MusicVenue,schema:MusicVenue,http://schema.org/address,schema:address,schema:address,2
http://schema.org/MusicVenue,schema:MusicVenue,schema:MusicVenue,http://schema.org/addressLocality,schema:addressLocality,schema:addressLocality,2
http://schema.org/MusicVenue,schema:MusicVenue,schema:MusicVenue,http://schema.org/location,schema:location,schema:location,2
http://schema.org/MusicVenue,schema:MusicVenue,schema:MusicVenue,http://schema.org/name,schema:name,schema:name,2
http://schema.org/Organization,schema:Organization,schema:Organization,http://schema.org/hasPart,schema:hasPart,schema:hasPart,2
http://schema.org/Organization,schema:Organization,schema:Organization,http://schema.org/location,schema:location,schema:location,2
http://schema.org/Place,schema:Place,schema:Place,http://schema.org/address,schema:address,schema:address,2
http://schema.org/Place,schema:Place,schema:Place,http://schema.org/addressLocality,schema:addressLocality,schema:addressLocality,2
http://schema.org/StadiumOrArena,schema:StadiumOrArena,schema:StadiumOrArena,http://schema.org/address,schema:address,schema:address,2
http://schema.org/StadiumOrArena,schema:StadiumOrArena,schema:StadiumOrArena,http://schema.org/addressLocality,schema:addressLocality,schema:addressLocality,2
http://www.w3.org/ns/oa#Annotation,http://www.w3.org/ns/oa#Annotation,http://www.w3.org/ns/oa#Annotation,http://purl.org/dc/terms/created,dcterms:created,dcterms:created,2
http://www.w3.org/ns/oa#Annotation,http://www.w3.org/ns/oa#Annotation,http://www.w3.org/ns/oa#Annotation,http://schema.org/spatial,schema:spatial,schema:spatial,2
